Varför?	Why?
Kan du ge mig en filt?	Could you bring me a blanket?
Jag träffade just henne på gatan.	I just met her on the street.
Vi hade roligt på stranden igår.	We had a good time at the beach yesterday.
Du bör inte lämna barnet ensamt.	You should not leave the baby alone.
Skolan ser ut som ett fängelse.	The school looks like a prison.
Tyskan är inte ett lätt språk.	German is not an easy language.
Nederländskan är nära besläktad med tyskan.	Dutch is closely related to German.
Det här är en japansk docka.	This is a Japanese doll.
Jag ska av på nästa station.	I'll get off at the next station.
Man har funnit olja under Nordsjön.	Oil has been discovered under the North Sea.
Ett stort djur rymde från djurparken.	A big animal ran away from the zoo.
Jag tror att han var arg.	I think he was angry.
Han tror fortfarande på hennes ord.	He still believes her words.
De är väldigt intresserade av astronomi.	They are very interested in astronomy.
De har ingen annanstans att gå.	They have nowhere else to go.
Han har faktiskt inte ätit kaviar.	He hasn't actually eaten caviar.
Vi såg barnet kliva på bussen.	We saw the child get on the bus.
Jag känner tjejen som spelar tennis.	I know the girl playing tennis.
Folk säger att han aldrig dör.	People say he never dies.
Hans mål är att bli lärare.	His objective is to become a teacher.
Vad har du i din påse?	What have you got in your bag?
Jag vet inte vad det är.	I don't know what it is.
Jag kan sjunga det på engelska.	I can sing it in English.
Jag vill ha ett eget rum.	I want to have my own room.
Morötter och rovor är ätbara rötter.	Carrots and turnips are edible roots.
Han har en plats i parlamentet.	He has a seat in the Diet.
Jag kommer att åka oavsett väder.	I will go regardless of the weather.
Kan jag avboka den här biljetten?	Can I cancel this ticket?
Han stannade upp mitt sitt anförande.	He broke off in the middle of his speech.
Din fråga hör inte till ämnet.	Your question is not relevant to the subject.
Jag har en bok om fiske.	I have a book about fishing.
Jag skapade en genväg på skrivbordet.	I created a shortcut on the desktop.
Vi frågade honom vad han hette.	We asked him what he was called.
Min bil står till ditt förfogande.	My car is at your disposal.
Vi är säkra på vår vinst.	We're confident of our victory.
Tom hittar alltid fel hos henne.	Tom always finds fault with her.
Har du inte bestämt dig än?	Haven't you decided yet?
Varför är en del översättningar gråa?	Why are some translations in grey?
Anledningen till trafikolyckan rapporterades av polisen.	The cause of the traffic accident was reported by the police.
Det är säkert att äta fiskarna.	It's safe to eat the fish.
Kan jag få ett par ostsmörgåsar?	May I have a couple of cheese sandwiches?
Kan jag få ett glas vatten?	May I have a glass of water, please?
Kan jag få ett glas vin?	Could I have a glass of wine?
En kopp kaffe kostar en krona.	A cup of coffee costs one crown.
Kostar en kopp kaffe en krona?	Does a cup of coffee cost one crown?
Hon har gått och lagt sig.	She had gone to bed.
Han satt och läste en bok.	He sat reading a book.
Vårt lag besegrade motståndaren med 5-4.	Our team defeated our opponent 5-4.
Vi sprang hela vägen till stationen.	We ran all the way to the station.
Min väckarklocka ringde inte i morse.	My alarm clock didn't go off this morning.
Har du någonsin ätit japansk mat?	Have you ever eaten Japanese food?
Jag pluggade i kanske två timmar.	I studied for perhaps two hours.
Bob var inte med på planen.	Bob wasn't in on the plan.
Har du någonsin varit på Koreahalvön?	Have you ever been to the Korean Peninsula?
Det ser ut att bli regn.	It looks as if it is going to rain.
Vår fotbollsmatch kommer att skjutas upp.	Our soccer game will be postponed.
Hon blev väldigt arg på barnen.	She got very angry with the children.
Jag åkte till Europa via USA.	I went to Europe by way of the United States.
Min far varken röker eller dricker.	My father neither smokes nor drinks.
Har du gått ner i vikt?	Have you lost weight?
Jag har inga pengar på mig.	I have no money on me.
Han är på väg att gå.	He is about to leave.
Jag är orolig för hennes hälsa.	I'm anxious about her health.
Hur lång är den där bron?	How long is that bridge?
Var snäll och gå till kirurgavdelningen.	Please go to the Surgery Department.
Han har dussintals böcker om Japan.	He has dozens of books about Japan.
Det haglar i regel om sommaren.	As a rule, hail falls in summer.
Som tur är blev ingen blöt.	Luckily nobody got wet.
Jag fryser. Kan jag stänga fönstret?	I'm cold. May I close the window?
Fråga henne vad hon har köpt.	Ask her what she bought.
Diamanten värderades till 5 000 dollar.	The diamond was valued at 5,000 dollars.
Man trodde att valar var fiskar.	It was believed that whales were fish.
Det här är min fru, Edita.	This is my wife Edita.
Mitt hår är längst i klassen.	My hair is the longest in my class.
Han levde inte upp till förväntningarna.	He did not live up to expectations.
Vad sägs om en kopp kaffe?	What do you say to taking a cup of coffee?
Hon blev påkörd av en bil.	She was hit by a car.
Känner du till någon bra restaurang?	Do you know a good restaurant?
Det kommer inte att göra ont.	It won't hurt.
Min klass består av fyrtio studenter.	My class is made up of forty students.
Följden blev att hon förlorade jobbet.	The consequence was that she lost her job.
Jag avskyr att se djur lida.	I hate to see animals suffer.
Döm inte andra efter dig själv.	Don't judge others by yourself.
Håll käften, annars åker du ut.	Shut up or you'll be thrown out.
Förenta nationerna är en internationell organisation.	The United Nations is an international organization.
Jag tog med mig min kamera.	I took my camera along.
Hon ser ut att vara full.	She looks as if she were drunk.
Och slutligen, tolv poäng till Estland!	And finally, twelve points to Estonia!
Den här stolen är väldigt bekväm.	This chair is very comfortable.
Jag gick inte, utan stannade hemma.	I didn't go, but stayed at home.
Vill du ha lite mer sås?	Would you like some more gravy?
Golden Gate-bron är gjord av järn.	The Golden Gate Bridge is made of iron.
Pojken tömde tallriken på ett ögonblick.	The boy had the dish empty in a moment.
Religion är ett opium för folket.	Religion is the opium of the people.
Hon vill hålla honom på avstånd.	She wants to keep him at a distance.
Tre öl och en tequila tack!	Three beers and a tequila please!
Hennes far avled i förra veckan.	Her father passed away last week.
Jag skulle vilja hyra en bil.	I'd like to rent a car.
Sömnbrist är inte bra för kroppen.	Lack of sleep is bad for the body.
Vi kommer alltid att vara tillsammans.	We will be together forever.
Han har det bättre än någonsin.	He is better off than ever before.
De lade ut mattan på golvet.	They laid the carpet on the floor.
Jag kan inte böja min högerarm.	I can't bend my right arm.
Det ligger en sax på bordet.	There is a pair of scissors on the desk.
Den gamle mannen satte sig ner.	The old man sat down.
Jag gissade att hon var fyrtio.	I guessed her to be 40.
Det tar inte särskilt lång tid.	It doesn't take very long.
Hawaii har fint väder året runt.	Hawaii enjoys good weather the year round.
Han sparkade in bollen i mål.	He kicked the ball into the goal.
I Europa startar skolorna i september.	School starts in September in Europe.
Tre studenter. Här är min studentlegitimation.	Three students. Here's my student ID.
Han tvingade sig in i rummet.	He forced his way into the room.
För länge sedan besökte jag Kanada.	I visited Canada long ago.
De fångade räven med en fälla.	They caught the fox with a trap.
Hennes hår är långt och vackert.	Her hair is long and beautiful.
Många tror att jag är tokig.	Many people think I'm crazy.
Hon är väldigt rädd för ormar.	She has a great fear of snakes.
Min mormors sjuksköterska är väldigt snäll.	My grandmother's nurse is very kind.
Min farmors sjuksköterska är väldigt snäll.	My grandmother's nurse is very kind.
Han är tillbaks om några dagar.	He will be back in a couple of days.
Hur länge har du varit utomlands?	How long have you been abroad?
Det är en present till dig.	It's a present for you.
Vem som helst kan göra misstag.	Anybody can make a mistake.
Jag har aldrig ätit mango förut.	I have never eaten a mango before.
Hon var på väg att svimma.	She was on verge of fainting.
Såg du blicken han gav mig?	Did you see how he looked at me?
Hon gav honom en massa pengar.	She gave him a lot of money.
Vilken av de två är tyngst?	Which is the heavier of the two?
Gå upp för den här trappan.	Go up these stairs.
Att flyga drake kan vara farligt.	Flying a kite can be dangerous.
Drogens effekter är intensiva men kortvariga.	The effects of the drug are intense but brief.
Finns det en bensinmack i närheten?	Is there a gas station around here?
Ann spelar ofta tennis efter skolan.	Ann often plays tennis after school.
Jag vet inte vad klockan är.	I don't know what time it is.
En ekorre gömde sig bland grenarna.	A squirrel hid among the branches.
Hon klappade sin son på axeln.	She patted her son on the shoulder.
Jag gick på en konstkurs i fjol.	I took an art class last year.
Jag kan inte besvara din fråga.	I can not answer your question.
Hon hjälpte sin far med trädgårdsarbetet.	She helped her father with the work in the garden.
Det är femtio kilometer till Paris.	It's fifty kilometers to Paris.
Som tur är var vädret bra.	Fortunately, the weather was good.
New Yorks gator är väldigt breda.	The streets of New York are very wide.
Han är antingen full eller tokig.	He is either drunk or mad.
Hur vill du ha ditt kaffe?	How would you like your coffee?
Du måste ta tjuren vid hornen!	You've got to take the bull by the horns!
Hanako har glömt sitt paraply igen.	Hanako has forgotten her umbrella again.
Den nuvarande regeringen har många problem.	The present government has many problems.
Presidenten är för närvarande i Miami.	The president is presently in Miami.
Vad finns i den här lådan?	What is in this box?
Hjärnan är bara en komplex maskin.	The brain is just a complicated machine.
Jag tar ett bad varannan dag.	I take a bath every other day.
Han högg ned det där körsbärsträdet.	He cut down that cherry tree.
Det rådde brist på importerad olja.	There was a shortage of imported oil.
Kan du inte skriva med kulspetspenna?	Won't you please write with a ballpoint pen?
Magdalena och Ania är goda vänner.	Magdalena and Ania are good friends.
Jag är skyldig honom 100 yen.	I owe him 100 yen.
Sydde du den här för hand?	Did you sew this by hand?
Jag tycker bättre om roliga filmer.	I like funny movies better.
Jag tror inte att han kommer.	I think he won't come.
Köpte du den på svarta marknaden?	Did you buy it on the black market?
Det här är en turkisk tradition.	This is a Turkish tradition.
Hans bok blev föremål för kritik.	His book became an object of criticism.
Vilken frukt tycker du bäst om?	What fruit do you like the best?
Först till kvarn får först mala.	First come, first served.
Stör inte Tom medan han läser.	Do not interfere with Tom while he is reading.
Finns det en tvättmaskin i huset?	Is there a washing machine in the house?
Den här klubben har femtio medlemmar.	There are fifty members in this club.
Vi såg många skepp i hamnen.	We saw many ships in the harbor.
Vem röstade du på i valet?	Who did you vote for in the election?
Jag tar hand om min farfar.	I take care of my grandfather.
Jag tar hand om min morfar.	I take care of my grandfather.
Jag tror hon är 40 år.	I think she's 40 years old.
Många vackra blommor blommar på våren.	Many pretty flowers bloom in the spring.
Det värsta med sommaren är hettan.	The worst thing about summer is the heat.
Han kastade ut mig ur huset.	He threw me out of the house.
Jag hittade ett jobb åt honom.	I found him a job.
Jag har stängt alla sex fönster.	I've shut all six windows.
Borde jag köpa någonting till honom?	Should I buy something for him?
Han blev tilldelad en ansvarsfull position.	He was appointed to a responsible post.
De ser honom som en hjälte.	They consider him a hero.
Vladivostok är en stad i Ryssland.	Vladivostok is a city in Russia.
Det finns många öar i Grekland.	There are many islands in Greece.
Många unga romare åkte till Grekland.	Many young Romans went to Greece.
Det finns ett äpple på bordet.	There is an apple on the table.
Jag förstår mig inte på musik.	I don't understand music.
Du kan välja vilken du vill.	You may choose whichever you want.
Hans hus var litet och gammalt.	His house was small and old.
Han är trött på mina problem.	He is fed up with my problems.
Det är allt annat än omöjligt.	It's all but impossible.
Jag spelade tennis med min bror.	I played tennis with my brother.
Din önskan har gått i uppfyllelse.	Your wish has come true.
Jag promenerar till jobbet varje dag.	I walk to work every day.
Det är en gammal kvinnas röst.	It's the voice of an old woman.
Du är trygg här med mig.	You are safe here with me.
Det är roligt att spela baseball.	It is fun to play baseball.
Bill lyckades bli godkänd på provet.	Bill was able to pass the exam.
Tom berättade för Mary om John.	Tom told Mary about John.
Tom tar en promenad varje eftermiddag.	Tom goes for a walk every afternoon.
Det låter som en bra idé.	That sounds like a good idea.
Var snäll och dela ut korten.	Please deal the cards.
Hon har en väldigt prydlig handstil.	She has very neat handwriting.
Hennes söner har åkt till Tokyo.	Her sons have gone to Tokyo.
Hon rådde honom att ta medicinen.	She advised him to take the medicine.
Han besökte ett barnhem i Texas.	He visited a children's home in Texas.
Den här skolan grundades år 1970.	This school was founded in 1970.
Jar har ett hus i bergen.	I have a house in the mountains.
Pojken gjorde sig lustig över flickan.	The boy made fun of the girl.
Tom bad Mary hålla ett tal.	Tom asked Mary to give a speech.
Du passar bra i kort hår.	You look nice with your hair short.
Jag har inte tid för dig.	I don't have time for you.
Hon frågade honom varför han grät.	She asked him why he was crying.
Följer du med mig till affären?	Are you coming to the store with me?
Den här bilen drivs av alkohol.	This car runs on alcohol.
Jag är fortfarande arg på henne.	I'm still mad at her.
Jag oroar mig över hans hälsa.	I'm worried because of his health.
Jag har aldrig varit i Argentina.	I've never been to Argentina.
Han hade snö upp till knäna.	He was knee-deep in snow.
Det är första min far skrev.	It's the first thing that my father wrote.
Det trodde jag aldrig om dig.	I never thought that about you.
Vi har ett väldigt allvarligt problem.	We have a very serious problem.
Det är en papegoja i fågelburen.	There's a parrot in the birdcage.
Jag tycker om att mata duvorna.	I like to feed the pigeons.
Tom gjorde klart läxan innan kvällsmaten.	Tom finished doing his homework before dinner.
Varför gör du så mot mig?	Why do you always do that to me?
Jag ångrar att jag åt ostronen.	I regret eating those oysters.
Hon har en stuga vid havet.	She has a cottage by the sea.
Min pappa är starkare än din.	My dad is stronger than your dad.
Det här är en rökfri kupé.	This is a non-smoking compartment.
Han borde ha varit färdig nu.	He should have finished it by now.
Vad gör den här stolen här?	What's this chair doing here?
Hon är utom sig av glädje.	She is beside herself with joy.
Jag tänker på dig hela tiden.	I think of you all the time.
Månen är mycket vacker i kväll.	The moon is very beautiful this evening.
Jag är inte ett dugg trött.	I'm not at all tired.
Han är bara en vanlig kontorsråtta.	He's just an ordinary office worker.
Underskottet har minskat lite i taget.	The deficit has been diminishing little by little.
Det var varmt och dessutom fuktigt.	It was hot, and in addition, it was humid.
Vi såg inga flickor i gruppen.	We didn't see any girls in the group.
Det finns en park i centrum.	There is a park in the middle of the city.
Det är inte söndag varje dag.	Not every day is Sunday.
Han var intresserad av Orientens mysterium.	He was interested in the mysteries of the Orient.
Tom har något i sin hand.	Tom has something in his hand.
Om det regnar kommer han inte.	If it should rain, he will not come.
Jag har lagat radion åt honom.	I've fixed the radio for him.
Den här whiskyn är för stark.	This whisky is too strong.
Hon har en del egna pengar.	She has some money of her own.
Var får jag tag på böcker?	Where would I find books?
Min far lagade en trasig stol.	My father fixed a broken chair.
Den långa resan förvärrade hennes skada.	The long trip aggravated her injury.
Han är bara en flyktigt bekant.	He is only a passing chance acquaintance.
Efter måltiden frågade jag efter räkningen.	After the meal, I asked for the bill.
Han sa ingenting medan jag talade.	While I was speaking, he said nothing.
Hur länge tänker du stanna här?	How long will you stay here?
Han är angelägen att åka dit.	He is eager to go there.
Jag är inte på väg någonstans.	I am not going anywhere.
Hennes storasyster gifte sig förra månaden.	Her older sister got married last month.
Överallt hon kommer är hon uppskattad.	Wherever she goes, she is well liked.
Det där är en bit paj.	That's a piece of pie.
Tom verkar inte vilja sänka priset.	Tom seems to be unwilling to lower the price.
Hur säger man ”adjö” på tyska?	"How do you say ""good bye"" in German?"""
Vår plan kommer att fungera bra.	Our plan will work out well.
Ett bra vin behöver inte annonseras.	There's no need to advertise a good wine.
Miljoner vilda djur lever i Alaska.	Millions of wild animals live in Alaska.
Mor går till sjukhuset på morgonen.	Mother goes to the hospital in the morning.
Tom samlade ihop alla sina saker.	Tom gathered together all his belongings.
Han är tillbaka om tio minuter.	He will be back in ten minutes.
Vi letar efter en nedgrävd skatt.	We were looking for buried treasure.
Det är Marys tur att diska.	It's Mary's turn to wash the dishes.
Männen gick för att jaga lejon.	The men went hunting for lions.
I mörkret är alla katter grå.	All cats are grey in the dark.
Som man bäddar, får man ligga.	As you sow, so shall you reap.
Ovan molnen är himlen alltid blå.	Every cloud has a silver lining.
Bomben exploderade för två dagar sedan.	The bomb exploded two days ago.
Finns det en bank i närheten?	Is there a bank near here?
Han har blivit längre och längre.	He has become taller and taller.
Landet förklarade krig mot sitt grannland.	The country declared war against its neighbor.
Hur länge tar det till fots?	How long does it take on foot?
Ken delade rummet med sin storebror.	Ken shared the room with his elder brother.
Han kunde lära sig utan instruktioner.	He could learn without instruction.
Jag vill dricka en kopp te.	I want to drink a cup of tea.
Hon försökte inte att översätta brevet.	She didn't try to translate the letter.
Hon gillar att prata framför oss.	She likes to talk in our presence.
Jag minns att jag mötte drottningen.	I remember meeting the queen.
Jag sa att jag var förvirrad.	I said that I was confused.
Jag vill inte prata om henne.	I don't want to speak about her.
Ett hundra cent blir en dollar.	One hundred cents makes one dollar.
Jag kommer inte ihåg ditt namn.	I don't remember your name.
Vi tittade alla ut genom fönstret.	We all looked out the window.
Han berättade sin livshistoria för mig.	He told me his life's story.
Vi har gått runt hela sjön.	We've walked all around the lake.
Rätta mig om jag har fel.	Correct me if I'm wrong.
Han litar mycket på sin assistent.	He trusts his assistant quite a lot.
Tom ser Mary som en hjältinna.	Tom considers Mary to be a heroine.
Jag tycker att han är skicklig.	I think he's competent.
Ofta kommer han inte till skolan.	He often doesn't come to school.
Varför trodde du inte på mig?	Why didn't you believe me?
Hon äter inte kött, eller hur?	She doesn't eat meat, does she?
Han dog i cancer förra året.	He died of cancer last year.
Han uppför sig som ett barn.	He behaves like a child.
Där är en katt i köket.	There is a cat in the kitchen.
Jordens måne är en naturlig satellit.	The earth's moon is a natural satellite.
Jag kommer aldrig att lämna dig.	I'll never leave you.
Moder Teresa föddes 1910 i Jugoslavien.	Mother Teresa was born in Yugoslavia in 1910.
Var snäll och stäng av motorn.	Please turn off your engine.
Vi förknippar namnet Darwin med evolutionsteorin.	We associate the name of Darwin with the theory of evolution.
Det finns inga matbutiker i närheten.	There are no food stores in the immediate area.
Men det var förstås länge sedan.	But of course that was a long time ago.
Han kände i fickan efter tändaren.	He felt in his pocket for his lighter.
Den här ölen har hög alkoholhalt.	This beer contains a high proportion of alcohol.
Lägg inte dina grejer i gången.	Don't put your things in the passage.
En ung flicka satt vid ratten.	A young girl was at the steering wheel.
Jag frågade honom vad han hette.	I asked him what his name was.
Får jag titta på tv nu?	May I watch TV now?
Vatten består av syre och väte.	Water comprises of oxygen and hydrogen.
De hämtar våra sopor varje måndag.	They collect our garbage every Monday.
Jag sitter och studerar på biblioteket.	I'm studying in the library.
Hur länge har de varit här?	How long have they been here?
Kejsar Hadrianus lät bygga Hadrianus mur.	Emperor Hadrian had Hadrian's Wall built.
Det är inte en bra idé.	It's not a good idea.
Han förklarade sin situation för mig.	He explained his position to me.
Jag skiter i vad du säger!	I don't give a fuck about what you say!
Tom var klädd helt i svart.	Tom was dressed all in black.
Nå, vad tycker du om mig?	Well, what do you think of me?
Rummet verkar väldigt mörkt och kusligt.	The room seems awfully dark and spooky.
Jag kände mig genast lite bättre.	I felt immediately a bit better.
Jag köpte inte den där boken.	I didn't buy that book.
Snart är det din tur, Bashar!	It's your turn soon, Bashar!
Har du redan tagit din medicin?	Have you taken your medicine yet?
Läraren och eleverna är i museet.	The teacher and the pupils are in the museum.
Skala äpplet innan du äter det.	Peel the apple before you eat it.
Paris är en ganska dyr stad.	Paris is a rather expensive city.
Tom har bevisat att det fungerar.	Tom has proved that it works.
Tom har bevisat att det går.	Tom has proved that it works.
Vi är inte i fara nu.	We're in no danger now.
En kungs dotter är en prinsessa.	A king's daughter is a princess.
Gissa vem som kommer i kväll.	Guess who's coming tonight.
Jag har byggt ett nytt hus.	I built a new house.
Ett kuvert och ett frimärke, tack.	An envelope and a stamp, please.
Om du inte äter dör du.	If you don't eat, you die.
Det där var en utmärkt putt.	That was an excellent putt.
Jag kan inte leva utan dig.	I can't live without you.
Jag kommer tillbaka om en timme.	I'll be back in an hour.
De lyder inte alltid sina föräldrar.	They don't always obey their parents.
De gick och fiskade i går.	They went fishing yesterday.
Detta är huset där han bor.	This is the house in which he lives.
Jag behöver något för en vuxen.	I need something for an adult.
Ge mig ett halvt kilo äpplen.	Give me half a kilo of apples.
Jag vill inte ha någon frukt.	I don't want any fruit.
Hur tar jag mig till busshållplatsen?	How do I get to the bus station?
Du borde slå upp det ordet.	You should look up that word.
Du borde verkligen inte dricka kranvattnet.	You'd better not drink the tap water.
Vem springer snabbast i din klass?	Who can run fastest in your class?
Vem tror du att du är?	Who do you think you are?
Äter du ofta fisk till middag?	Do you often have fish for dinner?
Hon har köpt en ny dator.	She has bought a new computer.
Någon har stulit alla mina pengar.	Someone has stolen all my money.
Jag råder dig att inte åka.	I advise you not to go.
Tom behöver köpa en ny regnrock.	Tom needs to buy a new raincoat.
Tom bor med Mary i Memphis.	Tom lives with Mary in Memphis.
Jag skulle vilja gå hem nu.	I'd like to go home now.
Han tappar alltid bort sitt paraply.	He is always losing his umbrella.
Du har bättre kondition än jag.	You're in better shape than I am.
Ken vann över mig på schack.	Ken beat me at chess.
Ni borde fråga honom om råd.	You ought to ask him for advice.
Hur gick det på din intervju?	How did your interview go?
De senaste medicinska framgångarna är anmärkningsvärda.	The recent advances in medicine are remarkable.
Jag ska plugga engelska i eftermiddag.	I'm going to study English this afternoon.
Han vann första pris på schackturneringen.	He won the first prize at the chess tournament.
Jag ville bara kolla min mejl.	I just wanted to check my email.
Lektionen börjar inte förrän halv nio.	Class doesn't begin until eight-thirty.
De säger att kärleken är blind.	They say love is blind.
Jag skulle aldrig ha gissat det.	I would never have guessed that.
Det skulle jag aldrig ha gissat.	I would never have guessed that.
Hur säger du det på italienska?	How do you say that in Italian?
Skulle du vilja dansa med mig?	Would you like to dance with me?
Jag skulle vilja stanna en natt.	I'd like to stay for one night.
Det är för mycket att göra.	There are too many things to do!
Vem vill ha lite varm choklad?	Who wants some hot chocolate?
Har du någonsin ätit en bananpaj?	Have you ever eaten a banana pie?
Hon vill inte prata om det.	She doesn't want to talk about it.
Kan jag få ett kvitto, tack?	I'd like a receipt, please.
Finns det reserverade platser på tåget?	Are there reserved seats on the train?
Vi diskuterade vad vi skulle göra.	We discussed what to do.
Det kommer att bli ganska kyligt.	It is going to be rather cool.
Tom är en mycket stark man.	Tom is a very strong man.
Min bror är bra på tennis.	My brother is good at playing tennis.
Jag trodde att jag var trevlig.	I thought I was being nice.
Jag trodde att jag förstod dig.	I thought I understood you.
Hur mycket förbrukar den här bilen?	What mileage do you get with this car?
De skyndade sig ut ur rummet.	They hurried out of the room.
Sjön ser ut som ett hav.	That lake looks like an ocean.
”Tammi” med två m. Alltså T-A-M-M-I.	'Tammi' with two m's. So that's T-A-M-M-I.
Jag vill inte gå till skolan.	I don't want to go to school.
Jag har inte tid att läsa.	I don't have time to read.
Skeppet var inte redo för strid.	The ship wasn't ready for battle.
Vem är kapten över detta skepp?	Who's the captain of this ship?
Vi måste gå tillbaka till skeppet.	We must get back to the ship.
Var kom det där skeppet ifrån?	Where did that ship come from?
Vi ska söka genom hela skeppet.	We're going to search the whole ship.
Den här yachten är väldigt dyr.	This yacht is very expensive.
Vad ska du göra på Halloween?	What are you doing for Halloween?
Det jag skrev är inte engelska.	What I wrote is not English.
Jag är kapten över detta skepp.	I'm the captain of this ship.
Deras skepp ligger fortfarande i hamn.	Their ship is still in port.
Skulle du kunna vara tyst, tack?	Could you please be quiet?
Fienden förstörde många av våra skepp.	The enemy destroyed many of our ships.
Jag vill egentligen bara skaffa vänner.	I really just want to make friends.
Jag tog hans närvaro för givet.	I took his attendance for granted.
Jag kan inte göra det ogjort.	I can't undo it.
Flygplanet lyfte för tio minuter sedan.	The airplane took off ten minutes ago.
Rock tilltalar unga män och kvinnor.	Rock appeals to young men and women.
Har Jane lämnat Japan för gott?	Has Jane left Japan for good?
Rita ett streck på ditt papper.	Draw a line on your paper.
Al Smiths föräldrar kom från Irland.	Al Smith's parents came from Ireland.
Hon valde skorna som matchar klänningen.	She picked out the shoes that match the dress.
Det där är faktiskt riktigt elakt.	That's actually really mean.
Vad vill du berätta för oss?	What do you want to tell us?
Vad hände med resten av maten?	What happened to the rest of the food?
Det är tydligt att någon ljuger.	Obviously, someone is lying.
Tom ligger på en stor sten.	Tom is lying on a large rock.
Varför tar du på min flickvän?	Why are you touching my girlfriend?
Jag ville bara prata med Tom.	I only wanted to talk to Tom.
Jag var bara där en gång.	I only went there once.
Jag gick bara dit en gång.	I only went there once.
Om det bara var så enkelt.	I only wish it were that simple.
Jag vill bara vara till hjälp.	I only wish to help.
Om det bara vore så enkelt.	I only wish it were that simple.
En av tigrarna rymde från djurparken.	One of the tigers has escaped from the zoo.
Många tror att fladdermöss är fåglar.	A lot of people think that bats are birds.
Marys meningar är lätta att översätta.	Mary's sentences are easy to translate.
En tiger har rymt från djurparken.	A tiger has escaped from the zoo.
Det är en katt i köket.	There is a cat in the kitchen.
Det finns en katt i köket.	There is a cat in the kitchen.
Nej, jag tittar inte på CNN.	No, I don't watch CNN.
Jag har mitt eget sovrum hemma.	I have my own bedroom at home.
Skriv endast ut jämna sidor, tack.	Please print even pages only.
Det finns femtio stater i Amerika.	There are fifty states in America.
Han betedde sig som ett barn.	He behaved like a child.
Jag trodde att Tom skulle komma.	I thought Tom would show up.
Jag trodde att Tom skulle minnas.	I thought Tom would remember.
Jag tittade på tv i morse.	I watched TV this morning.
Hon har inte råd med det.	She can't afford it.
Den här bilen går på alkohol.	This car runs on alcohol.
Jag kanske är din enda vän.	I might be your only friend.
Kan jag få se på menyn?	May I look at the menu?
Jag skulle vilja köpa några vykort.	I would like to buy some postcards.
Vad ska du göra under sommarlovet?	What're you going to do during your summer vacation?
Hon översatte det ord för ord.	She translated it word for word.
Vad ska du göra på fredag?	What're you going to do on Friday?
Jag kan inte komma på texten.	I can't remember the lyrics.
För henne är det en förolämpning.	It is an insult to her.
Har du någonsin sett en val?	Have you ever seen a whale?
Du är gammal nog att förstå.	You're old enough to understand.
Bob tittade förbi hos sin farbror.	Bob dropped in at his uncle's house.
Jag vill köpa en tjeckisk tröja.	I want to buy a Czech sweater.
Vill du ha någonting att äta?	Do you want something to eat?
Jag gillar inte kvinnor utan personalitet.	I don't like women without personalities.
Skådespelerskan har ett väldigt vackert namn.	The actress has a very beautiful name.
Många träd tappar löven på vintern.	Many trees lose their leaves in the winter.
Vår engelsklärare lägger vikt vid uttalet.	Our English teacher put emphasis on pronunciation.
Dessa skor är tillverkade i Italien.	These shoes are made in Italy.
Tom kan inte sjunga höga A.	Tom can't sing a high A.
Han har inte hatt på sig.	He is not wearing a hat.
Det är ett väldigt farligt system.	It's a very dangerous system.
Jag pluggade en stund i morse.	I studied for a while this morning.
Hur är det med din syster?	How's your sister?
Tom har sällan på sig hatt.	Tom rarely wears a hat.
Är det här Paris eller Marseille?	Is this Paris or Marseille?
Skulle du vilja ha lite äggröra?	Would you like some scrambled egg?
Tom äter ofta äggröra till frukost.	Tom often eats scrambled eggs for breakfast.
Detta är hans bil, tror jag.	This is his car, I think.
En hunds nos är väldigt känslig.	A dog's nose is very sensitive.
En ponny är en liten häst.	A pony is a small horse.
Jag gillar ris mer än bröd.	I like rice more than bread.
Hur länge har han varit borta?	How long has he been absent?
Detta barnet har växt upp normalt.	This child has grown up normally.
Jag tror att hon är ärlig.	I believe that she is honest.
Vem kommer att vinna i Ohio?	Who will win Ohio?
Vill du ha te eller något?	Would you like tea or something?
Visa hur man gör det där.	Show me how to do that.
Jag gick faktiskt aldrig på högskola.	I didn't actually go to college.
Jag såg det faktiskt inte själv.	I didn't actually see it myself.
Jag har faktiskt aldrig träffat Tom.	I never actually met Tom.
Jag har faktiskt aldrig varit full.	I've actually never been drunk.
Jag har faktiskt aldrig spelat golf.	I've actually never played golf.
Det var faktiskt inte så illa.	It actually wasn't that bad.
Det är faktiskt en bra poäng.	That's actually a good point.
Alla dörrar i huset var stängda.	All the doors of the house were closed.
Tom kom faktiskt på det själv.	Tom actually figured it out by himself.
Tom pratar faktiskt inte mycket Franska.	Tom doesn't actually speak much French.
Toms party var ganska roligt, faktiskt.	Tom's party was kind of fun, actually.
Jag har inga kläder att använda.	I don't have anything to wear.
Jag har inga böcker att läsa.	I don't have any books to read.
Jag har inget att skriva med.	I don't have anything to write with.
Jag tror inte att kärlek finns.	I think love doesn't exist.
Ljudet väckte mig från min sömn.	The noise awoke me from my sleep.
Satte du på frimärket på brevet?	Did you put a stamp on the envelope?
Min bror och jag delade rummet.	My brother and I shared the room.
Det fanns nästan ingenting i rummet.	There was almost nothing in the room.
Det finns ett piano i rummet.	There is a piano in the room.
Det finns en tv i rummet.	There is a television in the room.
Det var femtio passagerare på planet.	There were fifty passengers on the plane.
Det var väldigt kallt den kvällen.	It was very cold that evening.
